pl_name,default_flag,discoverymethod,disc_year,disc_facility,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,st_rotp,st_rotperr1,st_rotperr2
Kepler-488 b,1,Transit,2016,Kepler,1,3.12082923,3.8e-07,-3.8e-07,0.0,,,,,15.79,3.85,-1.51,0.0,,,,,,,,,,,,,,,,,,,,,,2.1799,0.0112,-0.0112,0.0,,,,,0.13342,0.00029,-0.00069,0.0,,,,5970.0,97.43,-95.08,0.0,1.09,0.27,-0.1,0.0,1.07,0.07,-0.07,0.0,4.39,0.07,-0.17,0.0,18h51m51.89s,282.9662152,+48d20m42.20s,48.3450555,1145.28,29.9,-28.43,14.868,0.103,-0.103,13.724,0.023,-0.023,13.403,0.026,-0.026,13.412,0.044,-0.044,,,
Kepler-6 b,1,Transit,2009,Kepler,1,3.2346996,4e-07,-4e-07,0.0,0.04852,0.00074,-0.00133,0.0,14.617,0.202,-0.37,0.0,212.31044,12.07754,-11.12405,0.0,Mass,,,,,,,,,88.93,0.19,-0.17,0.0,0.141,0.022,-0.025,0.0,,,,,7.503,0.022,-0.022,0.0,0.09424,0.00012,-0.00011,0.0,1460.0,10.0,-10.0,5647.0,44.0,-44.0,0.0,1.39,0.02,-0.03,0.0,1.21,0.04,-0.04,0.0,4.24,0.01,-0.01,0.0,19h47m20.94s,296.8372475,+48d14m23.89s,48.2399695,587.039,5.071,-4.986,13.286,0.08,-0.08,12.001,0.021,-0.021,11.706,0.019,-0.019,11.634,0.019,-0.019,,,
KOI-94 e,1,Transit,2013,Kepler,1,54.32031,0.00012,-0.00012,0.0,0.3046,0.004,-0.004,0.0,6.56,0.62,-0.62,0.0,35.0,18.0,-28.0,0.0,Mass,0.019,0.23,-0.23,0.0,,,,,89.76,0.15,-0.15,0.0,0.18,0.11,-0.11,0.0,,,,,43.1,3.5,-3.5,0.0,0.0396,0.00024,-0.00024,0.0,584.0,,,6182.0,58.0,-58.0,0.0,1.52,0.14,-0.14,0.0,1.28,0.05,-0.05,0.0,4.18,0.07,-0.07,0.0,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.052,5.0,-4.899,12.314,0.046,-0.046,11.218,0.022,-0.022,10.957,0.018,-0.018,10.926,0.019,-0.019,,,
Kepler-102 b,1,Transit,2014,Kepler,1,5.28696,,,0.0,,,,,0.47,0.02,-0.02,0.0,4.3,,,1.0,Mass,,,,,,,,,,,,,0.06,0.06,-0.06,0.0,,,,,,,,,0.0058,,,0.0,,,,4903.0,74.0,-74.0,0.0,0.74,0.02,-0.02,0.0,0.8,0.06,-0.06,0.0,4.61,0.03,-0.03,0.0,18h45m55.79s,281.4824731,+47d12m28.17s,47.2078263,107.796,0.22,-0.219,12.072,0.027,-0.027,9.984,0.023,-0.023,9.446,0.018,-0.018,9.351,0.011,-0.011,,,
HATS-55 b,1,Transit,2019,HATSouth,1,4.2042001,3.3e-06,-3.3e-06,0.0,0.05412,0.00014,-0.00018,0.0,14.022,0.291,-0.291,0.0,292.72143,24.15508,-24.15508,0.0,Mass,0.092,,,1.0,,,,,86.32,0.084,-0.084,0.0,0.662,0.012,-0.01,0.0,2.78376,0.02328,-0.02328,0.0,10.33,0.086,-0.086,0.0,0.1141,0.002,-0.002,0.0,1367.0,10.0,-10.0,6214.0,36.0,-36.0,0.0,1.13,0.01,-0.01,0.0,1.2,0.01,-0.01,0.0,4.41,0.01,-0.01,0.0,07h37m08.01s,114.2833819,-32d45m19.51s,-32.7554188,609.838,6.099,-5.982,13.525,0.08,-0.08,12.338,0.026,-0.026,12.048,0.04,-0.04,12.02,0.041,-0.041,,,
Kepler-10 b,1,Transit,2011,Kepler,1,0.837491,2e-06,-2e-06,0.0,0.0172,0.00081,-0.00168,0.0,1.481,0.049,-0.029,0.0,4.60853,1.27132,-1.46202,0.0,Mass,,,,,,,,,85.1,3.4,-4.3,0.0,0.3,0.21,-0.2,0.0,,,,,3.47,0.13,-0.31,0.0,0.01247,0.00031,-0.00014,0.0,2130.0,120.0,-60.0,5627.0,44.0,-44.0,0.0,1.06,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,4.35,0.06,-0.06,0.0,19h02m43.03s,285.679298,+50d14m29.34s,50.2414842,185.506,0.811,-0.805,11.043,0.023,-0.023,9.889,0.022,-0.022,9.563,0.025,-0.025,9.496,0.021,-0.021,,,
KELT-15 b,1,Transit,2016,KELT-South,1,3.32944,1.6e-05,-1.6e-05,0.0,,,,,19.504,2.242,-2.242,0.0,416.3573,136.6669,-136.6669,0.0,Mass,0.0,,,0.0,,,,,88.3,1.45,-1.45,0.0,,,,,,,,,6.7,0.25,-0.25,0.0,,,,,,,,6003.0,54.0,-54.0,0.0,1.78,0.21,-0.21,0.0,2.06,0.75,-0.75,0.0,4.17,0.03,-0.03,0.0,07h49m39.59s,117.4149764,-52d07m13.61s,-52.1204471,324.683,2.479,-2.442,11.39,0.012,-0.012,10.205,0.024,-0.024,9.919,0.023,-0.023,9.854,0.025,-0.025,,,
HD 191939 c,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,28.579743,4.5e-05,-4.5e-05,0.0,0.1752,0.0055,-0.005,0.0,3.195,0.075,-0.075,0.0,8.0,1.0,-1.0,0.0,Mass,0.034,0.034,-0.013,0.0,21.0,1.4,-1.4,0.0,89.1,0.06,-0.08,0.0,0.63,0.05,-0.03,0.0,4.162,0.24,-0.096,0.0,40.0,1.1,-0.7,0.0,0.03118,0.00027,-0.00034,0.0,600.0,13.0,-13.0,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,0.81,0.04,-0.04,0.0,4.3,0.1,-0.1,0.0,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.597,0.029,-0.029,7.215,0.023,-0.023,7.18,0.021,-0.021,,,
TOI-5542 b,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,75.12375,0.00019,-0.00018,0.0,0.332,0.016,-0.016,0.0,11.31,0.404,-0.392,0.0,419.5335,31.78284,-31.78284,0.0,Mass,0.018,0.026,-0.013,0.0,9.6,1.0,-0.9,0.0,89.643,0.069,-0.061,0.0,0.419,0.058,-0.075,0.0,,,,,,,,,0.098,0.001,-0.001,0.0,441.0,48.0,-74.0,5700.0,80.0,-80.0,0.0,1.06,0.04,-0.04,0.0,0.89,0.06,-0.03,0.0,4.2,0.2,-0.2,0.0,20h11m11.62s,302.7984228,-61d08m07.68s,-61.1354659,348.849,3.678,-3.604,12.42,0.046,-0.046,11.266,0.022,-0.022,10.945,0.023,-0.023,10.897,0.021,-0.021,,,
Kepler-134 b,1,Transit,2014,Kepler,1,5.317429,8e-06,-8e-06,0.0,0.06,,,0.0,2.0,0.39,-0.39,0.0,,,,,,,,,,,,,,,,,,0.12,0.17,-0.17,0.0,2.901,0.031,-0.031,0.0,,,,,,,,,,,,5983.0,150.0,-150.0,0.0,1.18,0.23,-0.23,0.0,,,,,4.31,0.15,-0.15,0.0,18h58m57.39s,284.7391156,+49d35m54.40s,49.5984448,334.797,2.404,-2.371,12.318,0.057,-0.057,11.26,0.024,-0.024,10.984,0.015,-0.015,10.951,0.019,-0.019,,,
